class,filename,width,height,format,mode,status
leopard,leopard_028.jpg,224,224,JPEG,RGB,valid
leopard,leopard_029.jpg,224,224,JPEG,RGB,valid
leopard,leopard_030.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_001.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_002.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_003.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_004.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_005.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_006.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_007.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_008.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_009.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_010.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_011.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_012.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_013.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_014.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_015.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_016.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_017.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_018.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_019.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_020.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_021.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_022.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_023.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_024.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_025.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_026.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_027.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_028.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_029.jpg,224,224,JPEG,RGB,valid
wild_boar,wild_boar_030.jpg,224,224,JPEG,RGB,valid
wolf,wolf_001.jpg,224,224,JPEG,RGB,valid
wolf,wolf_002.jpg,224,224,JPEG,RGB,valid
wolf,wolf_003.jpg,224,224,JPEG,RGB,valid
wolf,wolf_004.jpg,224,224,JPEG,RGB,valid
wolf,wolf_005.jpg,224,224,JPEG,RGB,valid
wolf,wolf_006.jpg,224,224,JPEG,RGB,valid
wolf,wolf_007.jpg,224,224,JPEG,RGB,valid
wolf,wolf_008.jpg,224,224,JPEG,RGB,valid
wolf,wolf_009.jpg,224,224,JPEG,RGB,valid
wolf,wolf_010.jpg,224,224,JPEG,RGB,valid
wolf,wolf_011.jpg,224,224,JPEG,RGB,valid
wolf,wolf_012.jpg,224,224,JPEG,RGB,valid
wolf,wolf_013.jpg,224,224,JPEG,RGB,valid
wolf,wolf_014.jpg,224,224,JPEG,RGB,valid
wolf,wolf_015.jpg,224,224,JPEG,RGB,valid
wolf,wolf_016.jpg,224,224,JPEG,RGB,valid
wolf,wolf_017.jpg,224,224,JPEG,RGB,valid
wolf,wolf_018.jpg,224,224,JPEG,RGB,valid
wolf,wolf_019.jpg,224,224,JPEG,RGB,valid
wolf,wolf_020.jpg,224,224,JPEG,RGB,valid
wolf,wolf_021.jpg,224,224,JPEG,RGB,valid
wolf,wolf_022.jpg,224,224,JPEG,RGB,valid
wolf,wolf_023.jpg,224,224,JPEG,RGB,valid
wolf,wolf_024.jpg,224,224,JPEG,RGB,valid
wolf,wolf_025.jpg,224,224,JPEG,RGB,valid
wolf,wolf_026.jpg,224,224,JPEG,RGB,valid
wolf,wolf_027.jpg,224,224,JPEG,RGB,valid
wolf,wolf_028.jpg,224,224,JPEG,RGB,valid
wolf,wolf_029.jpg,224,224,JPEG,RGB,valid
wolf,wolf_030.jpg,224,224,JPEG,RGB,valid
